time,frequency
23.6,3850.0
23.610526315789475,3850.0
23.621052631578948,3850.0
23.63157894736842,3850.0
23.642105263157895,4500.0
23.65263157894737,4500.0
23.663157894736845,6100.0
23.673684210526318,6100.0
23.68421052631579,6100.0
23.694736842105264,7700.0
23.705263157894738,7700.0
23.71578947368421,7800.0
23.726315789473684,7800.0
23.73684210526316,7800.0
23.747368421052634,7800.0
23.757894736842108,7800.0
23.76842105263158,4800.0
23.778947368421054,4800.0
23.789473684210527,4800.0
23.8,4800.0
23.810526315789474,5250.0
23.821052631578947,6300.0
23.831578947368424,8300.0
23.842105263157897,8300.0
23.85263157894737,8300.0
23.863157894736844,8650.0
23.873684210526317,8650.0
23.88421052631579,8650.0
23.894736842105264,8650.0
23.905263157894737,8650.0
23.91578947368421,5300.0
23.926315789473687,5300.0
23.93684210526316,5300.0
23.947368421052634,5300.0
23.957894736842107,5300.0
23.96842105263158,5300.0
24.0,9750.0
24.010526315789473,9750.0
24.021052631578947,9750.0
24.03157894736842,9700.0
24.042105263157893,9700.0
24.05263157894737,9700.0
24.063157894736843,9500.0
24.073684210526316,9500.0
24.08421052631579,9500.0
24.094736842105263,11800.0
24.105263157894736,11800.0
24.11578947368421,11800.0
24.126315789473683,10200.0
24.13684210526316,10100.0
24.147368421052633,4650.0
24.157894736842106,4650.0
24.16842105263158,4650.0
24.178947368421053,10250.0
24.189473684210526,10250.0
24.2,10400.0
24.210526315789473,10400.0
24.221052631578946,10400.0
24.231578947368423,10400.0
24.242105263157896,10400.0
24.25263157894737,7000.0
24.263157894736842,7000.0
24.273684210526316,7000.0
24.28421052631579,8300.0
24.294736842105262,8300.0
24.305263157894736,8300.0
24.31578947368421,8400.0
24.326315789473686,8400.0
24.33684210526316,8400.0
24.347368421052632,8400.0
24.357894736842105,8400.0
24.36842105263158,8400.0
24.4,9000.0
24.410526315789472,9000.0
24.421052631578945,9000.0
24.43157894736842,7850.0
24.44210526315789,4850.0
24.45263157894737,4850.0
24.46315789473684,4850.0
24.473684210526315,7000.0
24.48421052631579,7000.0
24.49473684210526,7000.0
24.505263157894735,7000.0
24.515789473684208,7050.0
24.52631578947368,7050.0
24.53684210526316,9900.0
24.54736842105263,10050.0
24.557894736842105,10050.0
24.568421052631578,10050.0
24.57894736842105,9700.0
24.589473684210525,9700.0
24.599999999999998,9600.0
24.61052631578947,9600.0
24.621052631578944,5000.0
24.63157894736842,5000.0
24.642105263157895,5000.0
24.652631578947368,5000.0
24.66315789473684,10350.0
24.673684210526314,10350.0
24.684210526315788,10350.0
24.69473684210526,10350.0
24.705263157894734,11200.0
24.715789473684207,11200.0
