time,frequency
59.506,3199.6368475427494
59.507999999999996,3326.4419644033806
59.51,3441.606104117858
59.512,3545.8186254848492
59.513999999999996,3639.7688873031775
59.516,3724.1462483726473
59.518,3799.640067492048
59.519999999999996,3866.9397034602925
59.522,3926.734515076998
59.524,3979.7138611410496
59.525999999999996,4026.567100451431
59.528,4067.9835918075955
59.53,4104.6162978291095
59.532,4136.97259641782
59.534,4165.523469296495
59.535999999999994,4190.73989818747
59.538,4213.092864813465
59.54,4233.053350896924
59.541999999999994,4251.092338160327
59.544,4267.680808326343
59.546,4283.289743117444
59.547999999999995,4298.39012425612
59.55,4313.452933465015
59.552,4328.949152466609
59.553999999999995,4345.250374498202
59.556,4362.330638856456
59.558,4380.0645963526695
59.559999999999995,4398.326897798132
59.562,4416.99219400433
59.564,4435.9351357825535
59.565999999999995,4455.0303739440915
59.568,4474.152559300434
59.57,4493.17634266287
59.571999999999996,4511.976374842689
59.574,4530.427306651381
59.576,4548.403788900225
59.577999999999996,4565.79874914956
59.58,4582.578221956001
59.582,4598.726518625012
59.583999999999996,4614.227950462067
59.586,4629.066828772805
59.588,4643.227464862695
59.589999999999996,4656.694170037219
59.592,4669.451255602
59.594,4681.483032862516
59.596,4692.773813124255
59.598,4703.307907692825
59.599999999999994,4713.0696278736805
59.602,4722.058023213652
59.604,4730.331096224441
59.605999999999995,4737.961587658985
59.608,4745.022238270308
59.61,4751.585788811349
59.611999999999995,4757.724980035056
59.614,4763.512552694441
59.616,4769.0212475424505
59.617999999999995,4774.323805332034
59.62,4779.492966816198
59.622,4784.6014727478905
59.623999999999995,4789.72206388008
59.626,4794.914177115423
59.628,4800.184033955313
59.629999999999995,4805.524552050809
59.632,4810.928649053029
59.634,4816.389242613035
59.635999999999996,4821.899250381886
59.638,4827.451590010702
59.64,4833.039179150542
59.641999999999996,4838.654935452465
59.644,4844.291776567592
59.646,4849.942620146982
59.647999999999996,4855.600383841692
59.65,4861.261883649446
59.652,4866.93952895429
59.653999999999996,4872.649627486874
59.656,4878.408486977905
59.658,4884.232415158033
59.66,4890.137719757906
59.662,4896.140708508232
59.663999999999994,4902.2576891396375
59.666,4908.504969382835
59.668,4914.898856968472
59.669999999999995,4921.455659627192
59.672,4928.19168508971
59.674,4935.120482672887
59.675999999999995,4942.244568038438
59.678,4949.5636984343655
59.68,4957.0776311086
59.681999999999995,4964.786123309068
59.684,4972.688932283778
59.686,4980.785815280657
59.687999999999995,4989.076529547629
59.69,4997.560832332708
59.692,5006.238480883819
59.693999999999996,5015.109232448883
59.696,5024.172844275913
59.698,5033.431311747157
59.699999999999996,5042.895582782109
59.702,5052.578843434681
59.704,5062.494279758689
59.705999999999996,5072.655077807941
59.708,5083.074423636357
59.71,5093.765503297748
59.711999999999996,5104.741502845922
59.714,5116.015608334804
59.716,5127.6010058182
59.717999999999996,5139.510881349917
59.72,5151.75842098388
59.722,5164.39587893081
59.724,5177.631782029033
59.726,5191.713725273927
59.727999999999994,5206.889303660674
59.73,5223.406112184666
59.732,5241.511745841136
59.733999999999995,5261.453799625294
59.736,5283.479868532566
59.738,5307.837547558169
59.739999999999995,5334.774431697286
59.742,5364.538115945395
59.744,5397.376195297672
59.745999999999995,5433.439119645217
59.748,5472.488758463154
59.75,5514.189836122162
59.751999999999995,5558.2070769928805
59.754,5604.205205446423
59.756,5651.848945853438
59.757999999999996,5700.80302258455
59.76,5750.732160010907
59.762,5801.301082503138
59.763999999999996,5852.174514431864
59.766,5903.017180168245
59.768,5953.49380408288
59.769999999999996,6003.319756352908
59.772,6052.412990381808
59.774,6100.7421053790185
59.775999999999996,6148.275700553989
59.778,6194.982375116674
59.78,6240.830728276521
59.782,6285.789359242987
59.784,6329.82686722601
59.786,6372.911851435045
59.788,6415.0129110795615
59.79,6456.098645369475
59.791999999999994,6496.137653514112
59.794,6535.113329189792
59.796,6573.068243938207
59.797999999999995,6610.059763767447
59.8,6646.145254686012
59.802,6681.382082702006
59.803999999999995,6715.827613823546
59.806,6749.539214059114
59.808,6782.574249416823
59.809999999999995,6814.990085904796
59.812,6846.844089531502
59.814,6878.193626305061
59.816,6909.09606223381
59.818,6939.600722685895
59.82,6969.724770470947
59.822,6999.477327758386
59.824,7028.867516717638
59.826,7057.904459518441
59.828,7086.59727833022
59.83,7114.955095322404
59.832,7142.987032664724
59.834,7170.702212526608
59.836,7198.109757077488
59.838,7225.21878848709
59.84,7252.038428924832
59.842,7278.576103654291
59.844,7304.83245031575
59.846,7330.806409643247
59.848,7356.496922371192
59.85,7381.902929233716
59.852,7407.023370964954
59.854,7431.857188299307
