time,frequency
616.346,5947.365417887206
616.3480000000001,6166.554465753893
616.35,6325.526043531211
616.3520000000001,6434.012872836252
616.354,6501.747675254967
616.356,6538.463172392687
616.3580000000001,6553.89208584769
616.36,6557.767137216508
616.3620000000001,6559.821048098599
616.364,6568.006937794395
616.3660000000001,6583.02547328371
616.368,6603.730069064071
616.37,6628.974139199453
616.3720000000001,6657.6110977548615
616.374,6688.494358790292
616.3760000000001,6720.477336372419
616.378,6752.413444560856
616.38,6783.159324994898
616.3820000000001,6812.101406596844
616.384,6839.740032482941
616.3860000000001,6866.716244966955
616.388,6893.671086356389
616.3900000000001,6921.245598964932
616.392,6950.080825100019
616.394,6980.8178070737395
616.3960000000001,7014.112030659324
616.398,7050.820084517779
616.4000000000001,7091.946030083781
616.402,7138.497321687961
616.404,7191.481413667777
616.4060000000001,7251.862477868819
616.408,7318.369670580997
616.4100000000001,7386.461358218914
616.412,7451.336007641719
616.4140000000001,7508.192085723315
616.416,7552.228059324127
616.418,7578.642395314779
616.4200000000001,7583.433696730822
616.422,7609.398403597144
616.4240000000001,7771.18209098436
616.426,8180.685375330628
616.428,8632.700811730923
616.4300000000001,8813.80117820492
616.432,8903.509341521727
616.4340000000001,8951.566641827521
616.436,8968.027581933584
616.4380000000001,8962.946664659294
616.44,8946.378392821976
616.442,8928.377269238128
616.4440000000001,8918.527623051677
616.446,8920.387986346788
616.4480000000001,8933.345697326857
616.45,8956.704646722059
616.452,8989.768725264508
616.4540000000001,9031.841823688519
616.456,9081.364000012405
616.4580000000001,9130.221745764355
616.46,9167.296642588446
616.4620000000001,9181.45458797301
616.464,9167.74287145077
616.466,9185.464524153494
616.4680000000001,9332.031840734297
616.47,9704.587884837787
616.4720000000001,10211.790461558214
616.474,10461.539443270609
616.476,10502.764865267469
616.4780000000001,10493.896612134276
616.48,10495.050348256163
616.4820000000001,10505.139657098201
616.484,10522.153607822687
616.4860000000001,10544.081269594846
616.488,10568.911711575623
616.49,10594.634002929684
616.4920000000001,10619.237380958448
616.494,10641.167619337011
616.4960000000001,10660.321171323825
616.498,10676.881976977906
616.5,10691.03397636161
616.5020000000001,10702.961109536742
616.504,10712.847316563142
616.5060000000001,10720.906154979055
616.508,10727.72543297055
616.5100000000001,10734.149436338594
616.5120000000001,10741.027454252237
616.514,10749.20877588159
616.5160000000001,10759.528206426101
616.518,10772.186712827151
616.5200000000001,10786.518426319599
616.522,10801.794958328388
616.524,10817.287920280894
616.5260000000001,10832.268923604548
616.528,10846.009579724217
616.5300000000001,10857.789869720924
616.532,10867.30078118384
616.5340000000001,10874.822829771205
616.5360000000001,10880.682067819109
616.538,10885.20454766497
616.5400000000001,10888.716321645892
616.542,10891.54344209843
616.5440000000001,10894.009411770458
616.546,10896.296336223284
616.548,10898.373565621923
616.5500000000001,10900.192877826628
616.552,10901.706050697345
616.5540000000001,10902.864862094395
616.556,10903.621089877799
616.5580000000001,10903.926511907794
616.5600000000001,10903.732906044497
616.562,10902.992050148096
616.5640000000001,10901.65572207865
616.566,10899.675699696467
616.5680000000001,10897.003760861468
616.57,10893.591683434113
616.572,10889.405783336828
616.5740000000001,10884.492642125404
616.576,10878.926390613266
616.5780000000001,10872.781184406931
616.58,10866.131179114243
616.5820000000001,10859.050530341598
616.5840000000001,10851.613393696944
616.586,10843.893924787033
616.5880000000001,10835.966279218552
616.59,10827.904612599548
616.5920000000001,10819.783080536254
616.594,10811.675838636738
616.596,10803.657042507684
616.5980000000001,10795.80084775579
616.6,10788.170037479318
616.6020000000001,10780.757235318491
616.604,10773.528335822977
616.6060000000001,10766.449181030226
616.6080000000001,10759.485612979312
616.61,10752.603473708103
616.6120000000001,10745.768605254485
616.614,10738.946849657503
616.6160000000001,10732.104048954654
616.618,10725.206045184987
616.62,10718.218680386384
616.6220000000001,10711.107796596714
616.624,10703.839235855054
616.6260000000001,10696.378840198846
616.628,10688.692451667213
616.63,10680.745912298007
616.6320000000001,10672.505824256998
616.634,10663.95785413976
616.6360000000001,10655.107655298418
616.638,10645.961825810144
616.6400000000001,10636.526963750068
616.642,10626.809667195428
616.644,10616.816534221865
616.6460000000001,10606.554162904959
616.648,10596.02915132204
616.6500000000001,10585.248097548081
616.652,10574.217599660476
616.654,10562.94425573479
616.6560000000001,10551.434663846527
616.658,10539.695422073162
616.6600000000001,10527.733128489534
616.662,10515.554355872575
616.6640000000001,10503.163282339065
616.666,10490.5597565848
616.668,10477.743171976888
616.6700000000001,10464.712921882396
616.672,10451.468399670615
616.6740000000001,10438.008998707848
616.676,10424.33411236344
616.678,10410.44313400444
616.6800000000001,10396.335456997847
616.682,10382.010474713083
616.6840000000001,10367.467580516326
616.686,10352.706167777038
616.6880000000001,10337.725629861356
616.69,10322.52536013879
616.692,10307.104751976307
616.6940000000001,10291.463198740823
616.696,10275.600093801924
616.6980000000001,10259.51483052562
616.7,10243.206802281551
616.702,10226.675402436616
616.7040000000001,10209.920024357669
616.706,10192.940673230672
616.7080000000001,10175.745280758729
616.71,10158.347307708418
616.7120000000001,10140.760327579268
616.714,10122.997913874782
616.716,10105.073640095467
616.7180000000001,10087.001079741794
616.72,10068.793806317322
616.7220000000001,10050.465393321485
616.724,10032.02941425787
616.726,10013.499442626942
616.7280000000001,9994.889051929142
616.73,9976.21181566809
616.7320000000001,9957.481307343167
616.734,9938.711100458006
616.7360000000001,9919.913836633028
616.738,9901.071883252725
616.74,9882.131414365831
616.7420000000001,9863.036476476658
616.744,9843.731116092786
616.7460000000001,9824.159379717416
616.748,9804.265313858179
616.75,9783.992965019377
616.7520000000001,9763.286379705229
616.754,9742.08960442349
616.7560000000001,9720.349855787636
616.758,9698.091004573782
616.7600000000001,9675.415713873588
616.7620000000001,9652.430244628313
616.764,9629.240857775356
616.7660000000001,9605.953814252072
616.768,9582.675374999792
616.7700000000001,9559.511800954559
616.772,9536.569353057688
616.774,9513.954292246537
616.7760000000001,9491.772879458538
616.778,9470.131375634894
616.7800000000001,9449.136041711838
616.782,9428.893138630436
616.7840000000001,9409.508927327079
616.7860000000001,9391.087257590494
616.788,9373.518361819388
616.7900000000001,9356.314115936275
616.792,9338.947622562599
616.7940000000001,9320.891984315833
616.796,9301.620303817523
616.798,9280.605683686177
616.8000000000001,9257.321226539912
616.802,9231.240035000865
616.8040000000001,9201.835211685517
616.806,9168.579859216701
616.8080000000001,9130.70690662999
616.8100000000001,9085.405263686733
616.812,9028.830728912691
616.8140000000001,8957.131123374831
616.816,8866.454268152656
616.8180000000001,8752.947984306926
616.82,8612.760092921899
616.822,8442.05268328023
616.8240000000001,8242.944840332722
616.826,8032.699789914061
616.8280000000001,7830.951763416847
616.83,7657.334992279029
616.8320000000001,7530.846802921342
616.8340000000001,7453.9795906457775
616.836,7411.618632794868
616.8380000000001,7387.7915755749145
616.84,7368.901662893331
616.8420000000001,7351.868744425328
616.844,7336.521865676991
616.846,7322.690173680593
616.8480000000001,7310.202815468753
616.85,7298.888938076174
616.8520000000001,7288.577688534841
616.854,7279.0982138792115
616.8560000000001,7270.279661141479
616.8580000000001,7261.951177355929
616.86,7253.941909555337
616.8620000000001,7246.081004772549
616.864,7238.197610041743
616.8660000000001,7230.120872395296
616.868,7221.713862049463
616.87,7213.007051084062
616.8720000000001,7204.082458859177
616.874,7195.022119072673
616.8760000000001,7185.908065420379
616.878,7176.8223316001795
616.8800000000001,7167.8469513079
616.8820000000001,7159.0639582414115
616.884,7150.555386097047
616.8860000000001,7142.4032685712
616.888,7134.68963936165
616.8900000000001,7127.496532164377
616.892,7120.905980677047
616.894,7115.000018596086
616.8960000000001,7109.8599520501575
616.898,7105.514823817259
616.9000000000001,7101.907287216723
616.902,7098.9718976188815
616.9040000000001,7096.643210393316
616.9060000000001,7094.855780910212
616.908,7093.544164539346
616.9100000000001,7092.642916650599
616.912,7092.086592613996
616.9140000000001,7091.809747799389
616.916,7091.746937576731
616.918,7091.832717315922
616.9200000000001,7092.001642386897
616.922,7092.188268159559
616.9240000000001,7092.327150003844
616.926,7092.352843289656
616.928,7092.1999033869315
616.9300000000001,7091.802885665562
616.932,7091.104667707624
616.9340000000001,7090.117204493819
616.936,7088.8866441749
616.9380000000001,7087.459378945368
616.94,7085.881801000033
616.942,7084.200302533457
616.9440000000001,7082.461275740181
616.946,7080.711112815046
616.9480000000001,7078.9962059525
616.95,7077.362947347379
616.952,7075.8577291942265
616.9540000000001,7074.526943687613
616.956,7073.416983022332
616.9580000000001,7072.574239392903
616.96,7072.045104994067
616.9620000000001,7071.875972020407
616.964,7072.1124095141095
616.966,7072.765793468665
616.9680000000001,7073.801769857948
616.97,7075.182792797123
616.9720000000001,7076.8713164016235
616.974,7078.829794786539
616.976,7081.02068206724
616.9780000000001,7083.40643235915
616.98,7085.949499777277
616.9820000000001,7088.6123384371895
616.984,7091.357402453864
616.9860000000001,7094.1444423334115
616.988,7096.918066424645
616.99,7099.617614511298
616.9920000000001,7102.182421049546
616.994,7104.5518204951295
616.9960000000001,7106.665147304344
616.998,7108.461735932982
617.0,7109.880920837205
617.0020000000001,7110.8620364730905
617.004,7111.344417296558
617.0060000000001,7111.268204340877
617.008,7110.613381352422
617.0100000000001,7109.417216594075
617.0120000000001,7107.721418074933
617.014,7105.567693803899
617.0160000000001,7102.997751789772
617.018,7100.053300041806
617.0200000000001,7096.776046568626
617.022,7093.207699379565
617.024,7089.405101412335
617.0260000000001,7085.661665465487
617.028,7082.45822771287
617.0300000000001,7080.280762559996
617.032,7079.615244412949
617.0340000000001,7080.94764767753
617.0360000000001,7084.763946759424
617.038,7091.55011606446
617.0400000000001,7100.667401368246
617.042,7106.788205956845
617.0440000000001,7103.3632530280365
617.046,7083.843262710524
617.048,7041.678955133071
617.0500000000001,6970.321050419291
617.052,6863.2202687056115
617.0540000000001,6713.827330107673
617.056,6519.361888586699
617.0580000000001,6305.029505361071
617.0600000000001,6108.630604461744
617.062,5962.568011290332
617.0640000000001,5867.308753405201
617.066,5811.739242905491
617.0680000000001,5784.7297006631825
617.07,5775.150347560488
617.072,5771.871438895328
617.0740000000001,5765.8726779676335
617.076,5755.93835152733
617.0780000000001,5742.657304810145
617.08,5726.618383054405
617.0820000000001,5708.4104314951455
