time,frequency
748.6659999999999,8830.299139075945
748.668,8819.273167076619
748.67,8810.185397801963
748.672,8803.035831250945
748.674,8797.824467424378
748.676,8794.55130632167
748.678,8793.216347943191
748.68,8793.8195922887
748.682,8796.3610393584
748.684,8800.840689152
748.686,8807.258541670008
748.688,8815.614596911695
748.69,8825.908854878013
748.692,8838.14131556779
748.694,8852.311978981556
748.696,8868.42084512028
748.698,8886.467913982135
748.7,8906.453185569168
748.702,8928.37665987911
748.7040000000001,8952.238336914454
748.706,8978.038216672485
748.708,9005.776299154504
748.71,9035.452584362256
748.712,9067.067072292364
748.714,9100.619762948423
748.716,9136.11065632662
748.7180000000001,9173.53975243099
748.72,9212.907051257274
748.7339999999999,10298.322531830881
748.736,10337.34131311392
748.7379999999999,10375.403520356249
748.74,10412.471254851844
748.742,10448.506617886142
748.7439999999999,10483.471710750935
748.746,10517.328634737769
748.7479999999999,10550.039491131201
748.75,10581.55876537697
748.752,10611.810479509008
748.754,10640.711039719381
748.756,10668.176852193443
748.7579999999999,10694.124323121512
748.76,10718.469858693566
748.762,10741.129865095476
748.764,10762.020748518858
748.766,10781.08524302195
748.7679999999999,10798.371394159287
748.77,10813.953575357393
748.7719999999999,10827.90616004019
748.774,10840.303521634956
748.776,10851.220033565975
748.778,10860.73006926018
748.78,10868.90800214233
748.7819999999999,10875.832741155396
748.784,10881.60133731064
748.786,10886.315377135224
748.788,10890.076447157518
748.79,10892.986133904915
748.7919999999999,10895.146023905467
748.794,10896.657703687062
748.7959999999999,10897.62275977732
748.798,10898.14299746031
748.8,10898.321097044043
748.802,10898.259957592716
748.804,10898.06247817051
748.8059999999999,10897.831557841595
748.808,10897.670095670135
748.81,10897.680990720319
748.812,10897.967142056335
748.814,10898.609891877555
748.8159999999999,10899.60435492433
748.818,10900.92408907232
748.8199999999999,10902.54265219695
748.822,10904.43360217398
748.824,10906.57049687877
748.826,10908.92689418714
748.828,10911.476351974445
748.8299999999999,10914.18796152322
748.832,10917.012947743877
748.834,10919.898068953224
748.836,10922.790083468708
748.838,10925.63574960713
748.8399999999999,10928.381825685783
748.842,10930.975070021936
748.8439999999999,10933.362240932332
748.846,10935.493305068421
748.848,10937.331062416319
748.85,10938.841521296556
748.852,10939.990690029284
748.8539999999999,10940.744576934923
748.856,10941.069190333808
748.858,10940.930538546221
748.86,10940.294629892449
748.862,10939.138142079446
748.8639999999999,10937.480430360149
748.866,10935.35151937392
748.8679999999999,10932.7814337605
748.87,10929.800198159095
748.872,10926.437837209545
748.874,10922.724375550966
748.876,10918.689837823194
748.8779999999999,10914.365439494051
748.88,10909.787159344509
748.882,10904.992166984774
748.884,10900.017632023983
748.886,10894.900724072388
748.8879999999999,10889.678612739388
748.89,10884.388467634366
748.8919999999999,10879.067458367816
748.894,10873.74738963158
748.896,10868.438606452088
748.898,10863.146088937527
748.9,10857.874817197297
748.9019999999999,10852.629771339894
748.904,10847.415931473819
748.906,10842.238277708459
748.908,10837.101790151917
748.91,10832.00537529677
748.9119999999999,10826.92364516634
748.914,10821.825138167034
748.9159999999999,10816.678392706137
748.918,10811.451947189762
748.92,10806.114340025204
748.922,10800.634109618557
748.924,10794.979794377034
748.9259999999999,10789.120848692783
748.928,10783.030390899718
748.93,10776.682455318434
748.932,10770.051076268115
748.934,10763.110288069422
748.9359999999999,10755.834125041893
748.938,10748.196621504989
748.9399999999999,10740.171811779801
748.942,10731.743715913102
748.944,10722.936296868042
748.946,10713.783503333903
748.948,10704.319284002015
748.9499999999999,10694.577587562144
748.952,10684.592362704
748.954,10674.397558119004
748.956,10664.027122496065
748.958,10653.520644035623
748.9599999999999,10642.940268969887
748.962,10632.353783039809
748.9639999999999,10621.828971988145
748.966,10611.433621555261
748.968,10601.235517483894
748.97,10591.302445514444
748.972,10581.70219138941
748.9739999999999,10572.49353296434
748.976,10563.699216551058
748.978,10555.33298057726
748.98,10547.408563468687
748.982,10539.939703652935
748.9839999999999,10532.940139556236
748.986,10526.423609604926
748.9879999999999,10520.403852226667
748.99,10514.881735492643
748.992,10509.80664605865
748.9939999999999,10505.115100224939
748.996,10500.743614291845
748.9979999999999,10496.628704560435
749.0,10492.706887330813
749.002,10488.914678903993
749.004,10485.188595580039
749.006,10481.466450621569
749.0079999999999,10477.691245136208
749.01,10473.80727719312
749.012,10469.758844862132
749.014,10465.490246212163
749.016,10460.945779313082
749.0179999999999,10456.069742234045
749.02,10450.80643304402
749.0219999999999,10445.103429680627
749.024,10438.921429549677
